title,genre,plot
Deception,"Crime, Drama, Mystery, Thriller","Cat and mouse. Jonathan McQuarry is an auditor in Manhattan, moving from office to office checking their books. While working late, a smooth and well-dressed man named Wyatt Bose chats Jonathan up, offers him a joint, and soon they're pals. When their cell phones are accidentally swapped, Jonathan answers Wyatt's phone to a series of women asking if he's free tonight. Jonathan discovers it's a sex club: busy powerful people meet each other anonymously in hotels. Jonathan falls for one of the club members, whom he knows only as ""S,"" whom he's also seen on a subway. When she goes missing, patterns emerge and Jonathan faces demands involving violence and lots of money."
Leaves From Satan's Book,Drama,"After seeing D. W. Griffith's epic Intolerance, Denmark's greatest director, Carl Theodor Dreyer (The Passion of Joan of Arc, Vampyr), was inspired to make his own four-episode historical epic with each story told end to end, anthology-style, linked by theme to the others. The unifying character, Satan, attempts to win God's favor but is doomed to cheerless participation in dark episodes of human history: the temptation of Jesus, the Spanish Inquisition, the French Revolution and the Russo-Finnish war of 1918. Few directors resisted compromise and convention the way Dreyer did; fortunately, the Nordisk Film Company was artistically progressive by Hollywood standards and agreed that this should be a prestige film made to the highest standards. More than two years in production, Dreyer not only directed but also controlled every facet of this ambitious production."
Convict 13,"Short, Comedy",Buster is playing golf with Sybil when he gets knocked out. An escaped prisoner changes clothes with him. Buster goes to prison and learns that he is to be hanged. He changes clothes with a guard just as prisoner Roberts attacks all the guards.
Dr. Jekyll and Mr. Hyde,"Horror, Sci-Fi","Based on the story by Robert Louis Stevenson, Dr. Henry Jekyll believes that there are two distinct sides to men - a good and an evil side. He believes that by separating the two man can become liberated. He succeeds in his experiments with chemicals to accomplish this and transforms into Hyde to commit horrendous crimes. When he discontinues use of the drug it is already too late..."
An Eastern Westerner,"Comedy, Short, Family, Western","A young New Yorker is the bane of his Christian parent's existence because of his constant carousing and partying at all hours. As such, his father decides to send the young man to live at ranch of his uncle in Piute Pass in the wild west to get him away from the New York temptations that lead to this unwanted behavior. Before he even gets to the ranch, the young man gets into one misadventure after another using his New York sensibilities in Piute Pass. His primary misadventure involves a sweet young ingénue, the two who fall for each other at first sight. Her father is being held captive by ""Tiger Lip"" Tompkins, who owns half the county and bullies the rest with his band called the Masked Angels. The ransom is her womanly favors to him. The young man tries to help free the father so that the young man and the ingénue can live happily ever after together, which does not sit well with Tiger Lip and the Masked Angels."
Get Out and Get Under,"Comedy, Short","A young man is awakened from a nightmare by the telephone ringing - his girlfriend is calling him, because he is late for an amateur theatrical production. But before he can leave, he gets into an argument with his neighbor. Then, soon after he gets on the road, his car stalls. If he cannot get to the theater quickly, he might be replaced in the play by a rival."
The Golem,"Fantasy, Horror","In 16th-century Prague, a rabbi creates the Golem - a giant creature made of clay. Using sorcery, he brings the creature to life in order to protect the Jews of Prague from persecution."
Haunted Spooks,"Short, Comedy","After numerous failed attempts to commit suicide, our hero (Lloyd) runs into a lawyer who is looking for a stooge to stand in as a groom in order to secure an inheritance for his client (Davis). The inheritance is a house, which her scheming uncle ""haunts"" so that he can scare them off and claim the property."
High and Dizzy,"Comedy, Short","After a long wait, a young doctor finally has a patient come to his office. She is a young woman whose father has brought her to be treated for sleep-walking, but the father becomes annoyed with the doctor, and takes his daughter away. Soon afterward, the young doctor shares in a drinking binge with another doctor who has built a still in his office. After a series of misadventures, the two of them wind up in the same hotel where the daughter and her father are staying, leading to some hazardous predicaments."
The Last of the Mohicans,"Action, Adventure, Drama, Romance, War","The last members of a dying Native American tribe, the Mohicans -- Uncas, his father Chingachgook, and his adopted half-white brother Hawkeye -- live in peace alongside British colonists. But when the daughters of a British colonel are kidnapped by a traitorous scout, Hawkeye and Uncas must rescue them in the crossfire of a gruesome military conflict of which they wanted no part: the French and Indian War."
The Mark of Zorro,"Action, Adventure, Romance, Western","Around 1820 the son of a California nobleman comes home from Spain to find his native land under a villainous dictatorship. On the one hand he plays the useless fop, while on the other he is the masked avenger Zorro."
